Borough,Longitude,Latitude,LatinSpecies
Staten Island,-74.206363,40.535367,QUERCUS PALUSTRIS
Queens,-73.79253,40.744283,ACER PLATANOIDES
Brooklyn,-73.94594599999999,40.601476,ACER PLATANOIDES
Queens,-73.811511,40.685718,ULMUS AMERICANA
Staten Island,1.0,1.0,FRAXINUS PENNSYLVANICA
Brooklyn,-73.903041,40.643224,PLATANUS ACERIFOLIA
Queens,1.0,1.0,PLATANUS ACERIFOLIA
Staten Island,-74.18887600000001,40.526291,ACER RUBRUM
Queens,-73.88504300000001,40.748573,QUERCUS PALUSTRIS
Staten Island,-74.163558,40.533152,LIQUIDAMBAR STYRACIFLUA
Queens,-73.870755,40.764133,FRAXINUS PENNSYLVANICA
Staten Island,-74.200526,40.546378000000004,TILIA CORDATA
Manhattan,1.0,1.0,PYRUS CALLERYANA
Queens,-73.818821,40.773067,ACER SACCHARINUM
Staten Island,-74.133774,40.555035,QUERCUS PALUSTRIS
Manhattan,-73.938528,40.842749,UNKNOWN LIVE TREES 
Queens,-73.785896,40.774784999999994,ACER SACCHARINUM
Queens,-73.767498,40.756944,SOPHORA JAPONICA
Queens,-73.794632,40.752576,ULMUS AMERICANA
Staten Island,-74.086405,40.613884000000006,QUERCUS RUBRA
Queens,-73.797031,40.777187,LIQUIDAMBAR STYRACIFLUA
Brooklyn,-73.951185,40.583376,PLATANUS ACERIFOLIA
Staten Island,-74.188907,40.542497,ACER SACCHARINUM
Bronx,-73.850329,40.835913,UNKNOWN DEAD TREES 
Brooklyn,-73.919446,40.645864,NYSSA SYLVATICA
Queens,-73.81242900000001,40.749906,ACER PLATANOIDES
Brooklyn,-73.908834,40.664184000000006,UNKNOWN DEAD TREES 
Queens,-73.748612,40.749303000000005,ACER RUBRUM
Queens,-73.873701,40.723676,ACER PLATANOIDES
Queens,-73.846069,40.694046,PLANTING SITE
Queens,-73.861675,40.703285,ACER PLATANOIDES
Queens,-73.738753,40.774817,PYRUS CALLERYANA
Brooklyn,-73.946694,40.587811,PLATANUS ACERIFOLIA
Queens,-73.886561,40.720419,QUERCUS PHELLOS
Queens,-73.820738,40.769812,ACER SACCHARINUM
Bronx,1.0,1.0,ACER PLATANOIDES
Queens,-73.75752,40.732734,PLATANUS ACERIFOLIA
Manhattan,-73.96158100000001,40.76763,PYRUS CALLERYANA
Queens,-73.81469200000001,40.713522999999995,ACER PLATANOIDES
Queens,-73.765248,40.664471,ACER PLATANOIDES
Brooklyn,-73.925881,40.627873,ACER PLATANOIDES
Brooklyn,-73.960833,40.707494,FRAXINUS PENNSYLVANICA
Staten Island,-74.194789,40.543887,LIQUIDAMBAR STYRACIFLUA
Queens,-73.767101,40.715195,ACER SACCHARUM
Queens,-73.885856,40.753027,ACER PLATANOIDES
Brooklyn,-73.992674,40.662723,GLEDITSIA TRIACANTHOS
Manhattan,-73.979833,40.760715000000005,PYRUS CALLERYANA
Queens,-73.909604,40.777028,GLEDITSIA TRIACANTHOS
Staten Island,-74.125957,40.606206,QUERCUS RUBRA
Queens,-73.734195,40.667403,ACER RUBRUM
Queens,-73.888326,40.722636,TILIA CORDATA
Manhattan,-74.008984,40.73815,GLEDITSIA TRIACANTHOS
Brooklyn,-73.907319,40.629402,ACER PLATANOIDES
Brooklyn,-73.95484300000001,40.600771,TILIA CORDATA
Queens,-73.857771,40.686556,ACER SACCHARUM
Queens,-73.758978,40.714544000000004,ACER PLATANOIDES
Manhattan,1.0,1.0,UNKNOWN LIVE TREES 
